model_number,star_age,star_mass,log_L,Teff,radius,log_R,log_center_T,log_center_Rho,center_h1,center_he4,center_c12,center_o16,surface_h1,surface_he4,he_core_mass,co_core_mass,fe_core_mass,surf_avg_v_div_v_crit
35,0.02948341145771213,49.99999999928528,5.534574690164077,50954.786103163984,7.508800058126729,0.8755705402303571,7.659504898603323,0.5733691803021546,0.7600000043171931,0.2399900235527865,1.1663938425515347e-35,5.045060834373907e-46,0.7600000000000005,0.23998999999999981,0.0,0.0,0.0,0.20000161125759156
36,0.03539009374925455,49.99999999928528,5.5345746958009645,50954.78628197245,7.508800054157488,0.8755705400007838,7.659504899263145,0.573369182637495,0.7600000047716429,0.23999002600356864,1.237370878897599e-35,6.730941956930484e-46,0.7599999999999999,0.2399899999999996,0.0,0.0,0.0,0.20000161144032702
37,0.04247811249910547,49.99999999928528,5.53457470143239,50954.786469482635,7.50880004757642,0.8755705396201476,7.659504900159775,0.5733691857581785,0.7600000052655688,0.23999002866562674,1.312664661422198e-35,8.956682294267363e-46,0.76,0.23998999999999968,0.0,0.0,0.0,0.2000016116088602
38,0.050983734998926555,49.99999999928528,5.534574707131657,50954.78667096138,7.508800037464942,0.8755705390353192,7.659504901374114,0.573369189926125,0.7600000058037336,0.23999003156484572,1.3930351810451404e-35,1.1894850786252596e-45,0.76,0.2399899999999996,0.0,0.0,0.0,0.20000161177532721
39,0.06119048199871187,49.99999999928528,5.534574712996516,50954.78689347058,7.508800022586833,0.8755705381747981,7.659504903014847,0.5733691954835576,0.7600000063920758,0.23999003473350866,1.4793990538581314e-35,1.5776805815852712e-45,0.7600000000000006,0.2399899999999998,0.0,0.0,0.0,0.20000161196346775
40,0.07343857839845423,49.99999999928528,5.534574719154638,50954.78714643054,7.508800001269336,0.8755705369418353,7.659504905226667,0.5733692028925405,0.7600000070380662,0.23999003821223722,1.5728770847550714e-35,2.091568837193846e-45,0.7600000000000003,0.23998999999999976,0.0,0.0,0.0,0.20000161220958662
41,0.08813629407814508,49.99999999928528,5.534574725773438,50954.78744240416,7.508799971257181,0.8755705352059903,7.659504908206021,0.5733692127644259,0.760000007751193,0.23999004205261382,1.6748575334663082e-35,2.7740126669257382e-45,0.7599999999999999,0.23998999999999976,0.0,0.0,0.0,0.20000161256330606
42,0.10577355289377408,49.99999999928528,5.534574733072654,50954.78779822076,7.508799929489923,0.8755705327902528,7.659504912218758,0.5733692259285845,0.7600000085436157,0.23999004632075552,1.7870902057651624e-35,3.684477412827354e-45,0.7599999999999997,0.23998999999999976,0.0,0.0,0.0,0.2000016130884994
43,0.1269382634725289,49.99999999928528,5.534574741340569,50954.788236472246,7.508799871801368,0.8755705294536582,7.659504917626731,0.5733692435161128,0.7600000094309676,0.23999005110169896,1.911799745532787e-35,4.906702220700555e-45,0.7599999999999997,0.23998999999999976,0.0,0.0,0.0,0.20000161386661894
44,0.15233591616703465,49.99999999928528,5.53457475095598,50954.78878764417,7.508799792481331,0.8755705248659404,7.659504924924695,0.5733692670840244,0.7600000104332888,0.23999005650453786,2.0518225816921592e-35,6.560502846491962e-45,0.7600000000000002,0.23998999999999995,0.0,0.0,0.0,0.20000161500304622
45,0.18281309940044158,49.99999999928528,5.534574762426702,50954.789493328724,7.508799683661521,0.8755705185720127,7.659504934795244,0.5733692987681674,0.7600000115760284,0.2399900626679936,2.2107553521846496e-35,8.820048238014511e-45,0.7599999999999998,0.23998999999999993,0.0,0.0,0.0,0.2000016166384045
46,0.21938571928052988,49.99999999928528,5.534574776371556,50954.79040563469,7.5087995353338854,0.8755705099930284,7.659504948107557,0.573369341345026,0.7600000128910844,0.23999006976626072,2.3931071969523112e-35,1.1942322675479403e-44,0.7599999999999997,0.23998999999999984,0.0,0.0,0.0,0.2000016189482909
47,0.26327286313663584,49.99999999928528,5.534574793910294,50954.79161508493,7.508799330499209,0.8755704981457857,7.659504966334792,0.5733693993293094,0.7600000144178578,0.2399900780150375,2.604454867076541e-35,1.631168283684404e-44,0.7599999999999997,0.23998999999999993,0.0,0.0,0.0,0.20000162223578477
48,0.315937435763963,49.99999999928528,5.5345748163168444,50954.793228339404,7.508799048735161,0.8755704818490958,7.6595049912495,0.5733694783192407,0.7600000162043312,0.23999008767784477,2.851603958144135e-35,2.2510137652423033e-44,0.76,0.23998999999999998,0.0,0.0,0.0,0.2000016268623315
49,0.3791349229167556,49.99999999928528,5.534574844926386,50954.7953604578,7.508798667673277,0.8755704598092096,7.6595050251081656,0.5733695856014405,0.7600000183081448,0.2399900990725567,3.1427569367798063e-35,3.1429060320746884e-44,0.7599999999999999,0.23999000000000006,0.0,0.0,0.0,0.20000163322304845
50,0.4549719075001067,49.99999999928528,5.534574883537653,50954.798310178056,7.508798132107797,0.8755704288331305,7.659505072248636,0.5733697342955604,0.7600000207976502,0.23999011257811892,3.4876884633840227e-35,4.444818629946049e-44,0.7600000000000001,0.23999000000000015,0.0,0.0,0.0,0.20000164231822704
51,0.5459762890001281,49.99999999928528,5.534574935708032,50954.80237615649,7.508797384770612,0.875570385608579,7.659505137575586,0.5733699399033629,0.7600000237529673,0.23999012864173178,3.8979319686546253e-35,6.372464881749394e-44,0.7600000000000003,0.2399900000000002,0.0,0.0,0.0,0.20000165517444823
52,0.6551815468001536,49.99999999928528,5.534575006082552,50954.807948328875,7.50879635089399,0.875570325811128,7.659505227948179,0.5733702241441011,0.7600000272671746,0.23999014778735261,4.3870054877896215e-35,9.266338338631037e-44,0.7600000000000003,0.23999000000000015,0.0,0.0,0.0,0.2000016729565365
53,0.7862278561601843,49.99999999928528,5.534575100650861,50954.81561186034,7.508794909795623,0.8755702424607348,7.659505353958161,0.5733706199228706,0.7600000314477443,0.23999017062638298,4.970696358375217e-35,1.3668790921753631e-43,0.7600000000000006,0.23999000000000018,0.0,0.0,0.0,0.20000169689453265
